conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.98244E+18,Sun Oct 26 15:15:53 +0000 2025,0,@sundaymorning_n @cOokieschwe @leanongyuu GWAH TAK OUTUS DGAN JOSHUA KAMI PUNYA 10 ANAK KAMJ TAK MUNGKIN CERAI DAN MNINGGALKAN ANAK KAMI dan satu lgie gwah tak twu cranYh balap liar tLonk jjngan mnghasut gwah slMa nnie sunmo ynk suka brisik di jalan smbil,1.98247E+18,,sundaymorning_n,in,,0,2,0,https://x.com/undefined/status/1982466219681915323,1.77331E+18,
1.98246E+18,Sun Oct 26 15:14:49 +0000 2025,0,@itsokaywae MC cerai bisa?,1.98247E+18,,itsokaywae,in,,0,1,0,https://x.com/undefined/status/1982465951338787083,1.05854E+18,
1.98179E+18,Sun Oct 26 15:14:27 +0000 2025,0,@selyonce17 @yukonsbieb + JB berkali2 blg klo cita2 dia punya keluarga yg utuh. sesuatu yg gapernah dia miliki pas kecil. mkny dia blg klo udh nikah dia gabakal cerai krn dia liat hidup mama nya dulu &amp; dia yg tumbuh di keluarga yg retak. mrk nikah 6th,1.98247E+18,,mademoisellebyy,in,,0,1,0,https://x.com/undefined/status/1982465859223511245,1.77333E+18,
1.98247E+18,Sun Oct 26 15:14:26 +0000 2025,0,bener bener musim cerai kah raisa hamish cere juga,1.98247E+18,,,in,,0,1,0,https://x.com/undefined/status/1982465853544407202,1.23875E+18,
1.98247E+18,Sun Oct 26 15:13:21 +0000 2025,0,Tak kiro rumor bak e tenanan Raisa ape otw cerai ,1.98247E+18,,,in,,0,0,0,https://x.com/undefined/status/1982465581069791350,567227027,
1.98247E+18,Sun Oct 26 15:11:53 +0000 2025,0,di saat maraknya kasus perselingkuhan dan cerai sepupu lu malah milih nikah MUDA ,1.98247E+18,,,in,,0,1,0,https://x.com/undefined/status/1982465211597775168,1.94464E+18,
1.98246E+18,Sun Oct 26 15:09:18 +0000 2025,0,dimana2 seleb pada cerai gue yg triggered takutnya. maybe marrying late is better than marrying wrong person. chill aja dulu,1.98246E+18,,,in,,0,0,0,https://x.com/undefined/status/1982464562105614571,571580338,
1.98244E+18,Sun Oct 26 15:08:42 +0000 2025,0,@tanyarlfes Salah satu alasan knp ga mau kawin lg. Krn ga bisa kepikiran anak2 di luar keluarga baru nanti gimana. Rasanya gimana kalau ibu dan ayahnya punya keluarga baru dan mereka kaya extras. Bentuk tanggung jawab sama anak2 biarpun cerai tapi mereka ,1.98246E+18,,tanyarlfes,in,,0,2,0,https://x.com/undefined/status/1982464411123306542,1.64038E+18,
1.98246E+18,Sun Oct 26 15:08:33 +0000 2025,0,PUSINK BGT knp banyak yg cerai,1.98246E+18,,,in,,0,0,0,https://x.com/undefined/status/1982464371659092085,1.14994E+18,
1.98193E+18,Sun Oct 26 15:04:31 +0000 2025,0,@KangManto123 Yg istri dilantik PPPK trus gugat cerai suami karena malu suami cuma kuli bangunan padahal suami udah bantu biayain kuliah istri itu ga dibahas?,1.98246E+18,,KangManto123,in,,0,0,0,https://x.com/undefined/status/1982463356910071878,1.08804E+18,
1.98246E+18,Sun Oct 26 15:04:23 +0000 2025,0,Mengenal Co-Parenting yang Diterapkan Raisa dan Hamish Daud Pasca Gugat Cerai Baik untuk Anak? #RaisaDanHamishDaud #GugatCerai https://t.co/HwpnuMBKT5,1.98246E+18,,,in,,0,0,0,https://x.com/undefined/status/1982463325406744897,1.91203E+18,
1.98166E+18,Sun Oct 26 15:02:38 +0000 2025,0,@doucefille04 buru TTD surat pernyataan cerai km sm suami akuu!,1.98246E+18,,doucefille04,in,,1,0,0,https://x.com/undefined/status/1982462882790195560,1.9324E+18,
1.98243E+18,Sun Oct 26 14:59:32 +0000 2025,0,@tanyakanrl Ya kalo cerai kan ada ortu juga minta bantuan sama ortu buat ngusir mantan suami.,1.98246E+18,,tanyakanrl,in,,0,0,0,https://x.com/undefined/status/1982462105581490539,1.1373E+18,
1.98242E+18,Sun Oct 26 14:59:15 +0000 2025,0,@hrrnaa_ Iyyah kan mereka belum resmi cerai tapi manggil suami udah daehoon ajah,1.98246E+18,,hrrnaa_,in,,0,0,0,https://x.com/undefined/status/1982462030134354262,1.94585E+18,
1.98246E+18,Sun Oct 26 14:58:57 +0000 2025,1,suka hampir cerai,1.98246E+18,,,in,,0,0,0,https://x.com/undefined/status/1982461956285255873,1.84763E+18,
1.98246E+18,Sun Oct 26 14:58:45 +0000 2025,0,HAH KAK BNRN CERAI?!!!,1.98246E+18,,,in,,0,1,0,https://x.com/undefined/status/1982461905274073355,1.84114E+18,
1.98246E+18,Sun Oct 26 14:58:40 +0000 2025,0,Alasan cerai: diguyur air,1.98246E+18,,,in,,0,0,0,https://x.com/undefined/status/1982461886345232722,1.87442E+18,
1.98246E+18,Sun Oct 26 14:57:15 +0000 2025,0,‼️ UPDATE REKAPAN SOLD SALE CERAI AINANA ‼️,1.98246E+18,,,in,,1,1,0,https://x.com/undefined/status/1982461529665749029,1.53053E+18,
1.98246E+18,Sun Oct 26 14:55:28 +0000 2025,0,aku aja belum nikah kenapa yang lain udah pada cerai? ,1.98246E+18,,,in,,0,0,0,https://x.com/undefined/status/1982461078073459072,288631907,
1.98245E+18,Sun Oct 26 14:54:23 +0000 2025,138,@tanyakanrl Selamat Tuhan masih sayang anda. 5 bulan lagi sebelum nikah udah ditunjukin siapa sesungguhnya calon anda. Selingkuh tidak akan tobat sampe mati. Hanya bikin kamu cerai lebih cepat. Atau makan hati sampe mati. Silahkan pilih your poison.,1.98246E+18,,tanyakanrl,in,,0,2,8,https://x.com/undefined/status/1982460806039302226,1.64038E+18,
1.98246E+18,Sun Oct 26 14:50:12 +0000 2025,1,@savfjrn Kalo misal bener artinya dipermudah gitu bukannya malah jadi celah orang mempermainkan pernikahan apalg pasca cerai ada benefitnya. Hmm ,1.98246E+18,,IKIGAI________,in,,0,1,0,https://x.com/undefined/status/1982459754124558451,1.83465E+18,
1.98246E+18,Sun Oct 26 14:49:46 +0000 2025,3,@savfjrn No fault divorce ini maksudnya gimana yaa kak? Apakah artinya kalo mau cerai yaa cerai aja gitu? Bukannya harusnya perceraian itu dipersulit yaa kecuali emang ada alasan kuat utk bercerai misal ga dinafkahi kdrt dll.,1.98246E+18,,savfjrn,in,,0,2,0,https://x.com/undefined/status/1982459644548362526,1.83465E+18,
1.98246E+18,Sun Oct 26 14:48:23 +0000 2025,0,Oww ternyata Oktober banyak yang berpisah ya mau itu cerai putus atau asing ,1.98246E+18,,,in,,0,0,0,https://x.com/undefined/status/1982459297515884988,1.83737E+18,
1.98246E+18,Sun Oct 26 14:47:47 +0000 2025,0,Raisa Pastikan Hubungan dengan Hamish Daud Baik Meski Cerai https://t.co/rxd7JLIXyz,1.98246E+18,,,in,,0,0,1,https://x.com/undefined/status/1982459145434681383,137282671,
1.98246E+18,Sun Oct 26 14:46:15 +0000 2025,1,Wkwk demen nih yg salah paham gini. Udah cerai itu suami lu,1.98246E+18,,,in,,0,0,1,https://x.com/undefined/status/1982458761307685303,404649439,
1.98246E+18,Sun Oct 26 14:45:09 +0000 2025,0,Lagi belajar suka sama drama china. Biar nanti kalau yoongi nonton dracin jadinya nonton bareng bukan malah ngajak cerai https://t.co/vphVBxIsDz,1.98246E+18,https://pbs.twimg.com/media/G4MberQWYAA_LFC.jpg,,in,,0,0,0,https://x.com/undefined/status/1982458482650656914,1.52568E+18,
1.98246E+18,Sun Oct 26 14:42:06 +0000 2025,0,kangen iwaoi.... kagehina... yaallah og ship gue... mereka cerai gw ga bs ngikutin hype haikyuu lagi jirs saking sedihnya #maaf,1.98246E+18,,,in,,0,2,0,https://x.com/undefined/status/1982457717609685374,1.60112E+18,
1.98246E+18,Sun Oct 26 14:37:23 +0000 2025,0,Bayangin rakyat jelata yg suaminya abusive. Terus si istri nuntut cerai terus didemonisasi belum menyebut nihilnya settlement krn gak punya daya tawar (contoh: sbg seleb). Ya sudah menderita dalam sepi. Istri gak bisa mengancam si abusive ya gimana? Seleb aja bukan,1.98246E+18,,terratemps,in,,0,1,0,https://x.com/undefined/status/1982456528838996029,1.63261E+18,
